0;-24.4729364497409;x;{'d0': {'_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.4513060446144521};-48.9458728994819;0.0
4889;-34.5074117385508;(log(_a2_) * x);{'d0': {'_a2_': 3.53567314400668, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;10.09160009660102
4890;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4891;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4892;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4893;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4894;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4895;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4896;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4897;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4898;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4899;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4900;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4901;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4902;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4903;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4904;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4905;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4906;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4907;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4908;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4909;-22.3087477772083;((((y * _a3_) + _a1_) * _a3_) * _a3_);{'d0': {'_a1_': 0.010147606941303558, '_a3_': 1.0741323077917804, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6909481033068844};-85.2864497693547;20.33447710746898
4910;-22.2172931488581;((((y * _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 437.98964394005003, '_a3_': 0.0028833878199544583, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930576638910527};-85.1035405126541;20.33447710746898
4911;-22.2172931488581;((((y * _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 437.98964394005003, '_a3_': 0.0028833878199544583, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930576638910527};-85.1035405126541;20.33447710746898
4912;-22.2172931488581;((((y * _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 437.98964394005003, '_a3_': 0.0028833878199544583, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930576638910527};-85.1035405126541;20.33447710746898
4913;-22.2172931488581;((((y * _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 437.98964394005003, '_a3_': 0.0028833878199544583, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930576638910527};-85.1035405126541;20.33447710746898
4914;-22.2172931488581;((((y * _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 437.98964394005003, '_a3_': 0.0028833878199544583, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930576638910527};-85.1035405126541;20.33447710746898
4915;-22.2172931488581;((((y * _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 437.98964394005003, '_a3_': 0.0028833878199544583, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930576638910527};-85.1035405126541;20.33447710746898
4916;-21.1736020150733;((((y + _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 74112.34990647151, '_a3_': 1.7040196344392923e-05, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930593439547287};-85.1033950648745;21.37809551736398
4917;-21.1736020150733;((((y + _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 74112.34990647151, '_a3_': 1.7040196344392923e-05, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930593439547287};-85.1033950648745;21.37809551736398
4918;-21.1736020150733;((((y + _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 74112.34990647151, '_a3_': 1.7040196344392923e-05, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930593439547287};-85.1033950648745;21.37809551736398
4919;-21.1736020150733;((((y + _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 74112.34990647151, '_a3_': 1.7040196344392923e-05, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930593439547287};-85.1033950648745;21.37809551736398
4920;-21.1736020150733;((((y + _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 74112.34990647151, '_a3_': 1.7040196344392923e-05, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930593439547287};-85.1033950648745;21.37809551736398
4921;-21.1736020150733;((((y + _a3_) + _a1_) * _a3_) * y);{'d0': {'_a1_': 74112.34990647151, '_a3_': 1.7040196344392923e-05, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930593439547287};-85.1033950648745;21.37809551736398
4922;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4923;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4924;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4925;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4926;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4927;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4928;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4929;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4930;-20.1780775675368;((((y + _a3_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 47136125.15187944, '_a3_': 179287478.69391072, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560642658372};-85.1036789969805;22.373761930953382
4931;-20.3535719182130;(((pow2(_a5_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 6228526.851778178, '_a3_': 182597003.81981364, '_a5_': 14979.119434532862, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629867514};-81.0093345454927;20.151095354533382
4932;-20.3535719182130;(((pow2(_a5_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 6228526.851778178, '_a3_': 182597003.81981364, '_a5_': 14979.119434532862, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629867514};-81.0093345454927;20.151095354533382
4933;-20.3535719182130;(((pow2(_a5_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 6228526.851778178, '_a3_': 182597003.81981364, '_a5_': 14979.119434532862, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629867514};-81.0093345454927;20.151095354533382
4934;-20.3535719182130;(((pow2(_a5_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 6228526.851778178, '_a3_': 182597003.81981364, '_a5_': 14979.119434532862, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629867514};-81.0093345454927;20.151095354533382
4935;-20.3535719182130;(((pow2(_a5_) + _a1_) / _a3_) * y);{'d0': {'_a1_': 6228526.851778178, '_a3_': 182597003.81981364, '_a5_': 14979.119434532862, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629867514};-81.0093345454927;20.151095354533382
4936;-14.5163491097663;(((pow2(_a5_) + _a1_) / _a3_) * (x / _a5_));{'d0': {'_a1_': 2050723215577.802, '_a3_': 2321274.269018033, '_a5_': 1778456.8770503812, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.69305606299367};-81.0093345448938;25.98831816268058
4937;-14.5163491097663;(((pow2(_a5_) + _a1_) / _a3_) * (x / _a5_));{'d0': {'_a1_': 2050723215577.802, '_a3_': 2321274.269018033, '_a5_': 1778456.8770503812, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.69305606299367};-81.0093345448938;25.98831816268058
4938;-18.2142835825342;(((_a1_ + _a1_) / _a3_) * (x / _a5_));{'d0': {'_a1_': 2417653724974.8667, '_a3_': 2242742.0270412243, '_a5_': 1707162.3321843185, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629900224};-81.0093345452096;22.29038369007058
4939;-18.2142835825342;(((_a1_ + _a1_) / _a3_) * (x / _a5_));{'d0': {'_a1_': 2417653724974.8667, '_a3_': 2242742.0270412243, '_a5_': 1707162.3321843185, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560629900224};-81.0093345452096;22.29038369007058
4940;-19.2468810302372;(((_a1_ + _a1_) / _a3_) * (x * _a5_));{'d0': {'_a1_': 86138719.91255474, '_a3_': 299362471.0662659, '_a5_': 2.1945110663268705, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560631663168};-81.0093345299472;21.257786234736383
4941;-19.2468810302372;(((_a1_ + _a1_) / _a3_) * (x * _a5_));{'d0': {'_a1_': 86138719.91255474, '_a3_': 299362471.0662659, '_a5_': 2.1945110663268705, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560631663168};-81.0093345299472;21.257786234736383
4942;-19.2468810302372;(((_a1_ + _a1_) / _a3_) * (x * _a5_));{'d0': {'_a1_': 86138719.91255474, '_a3_': 299362471.0662659, '_a5_': 2.1945110663268705, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6930560631663168};-81.0093345299472;21.257786234736383
4943;-14.3698983694508;(((_a1_ + _a1_) / (_a7_ * _a7_)) * (x * _a5_));{'d0': {'_a1_': -25.644619759320694, '_a5_': -0.24151665015451204, '_a7_': 3.1318640902325314, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560636665049};-81.0093344866444;26.134768873871383
4944;-16.1873469462522;(((_a1_ + x) / (_a7_ * _a7_)) * (x * _a5_));{'d0': {'_a1_': -3.541778118001635, '_a5_': -0.6559720120968952, '_a7_': 1.2449659272594025, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0}};{'d0': 0.6523161106003601};-84.6442316402471;26.134768873871383
4945;-16.1873469462522;(((_a1_ + x) / (_a7_ * _a7_)) * (x * _a5_));{'d0': {'_a1_': -3.541778118001635, '_a5_': -0.6559720120968952, '_a7_': 1.2449659272594025, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0}};{'d0': 0.6523161106003601};-84.6442316402471;26.134768873871383
4946;-16.1873469462522;(((_a1_ + x) / (_a7_ * _a7_)) * (x * _a5_));{'d0': {'_a1_': -3.541778118001635, '_a5_': -0.6559720120968952, '_a7_': 1.2449659272594025, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0}};{'d0': 0.6523161106003601};-84.6442316402471;26.134768873871383
4947;-16.1873469462522;(((_a1_ + x) / (_a7_ * _a7_)) * (x * _a5_));{'d0': {'_a1_': -3.541778118001635, '_a5_': -0.6559720120968952, '_a7_': 1.2449659272594025, '_a0_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0}};{'d0': 0.6523161106003601};-84.6442316402471;26.134768873871383
4948;-21.9729634828089;(pow2(-(y)) + ((y + _a2_) + y));{'d0': {'_a2_': -0.08596495237679126, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6373525868386726};-94.2252965255387;25.139684779960398
4949;-21.9729634828089;(pow2(-(y)) + ((y + _a2_) + y));{'d0': {'_a2_': -0.08596495237679126, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6373525868386726};-94.2252965255387;25.139684779960398
4950;-21.9729634828089;(pow2(-(y)) + ((y + _a2_) + y));{'d0': {'_a2_': -0.08596495237679126, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6373525868386726};-94.2252965255387;25.139684779960398
4951;-21.9729634828089;(pow2(-(y)) + ((y + _a2_) + y));{'d0': {'_a2_': -0.08596495237679126, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6373525868386726};-94.2252965255387;25.139684779960398
4952;-21.9729634828089;(pow2(-(y)) + ((y + _a2_) + y));{'d0': {'_a2_': -0.08596495237679126, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6373525868386726};-94.2252965255387;25.139684779960398
4953;-15.2648967938451;(pow2(-(y)) + ((y + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.635838049655215};-90.2736992805931;29.871952846451396
4954;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4955;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4956;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4957;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4958;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4959;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4960;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4961;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4962;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4963;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4964;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4965;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
4966;-15.2648967938452;(pow2(-(y)) + ((x + _a2_) + (y * _a5_)));{'d0': {'_a2_': -0.0774066800096088, '_a5_': 0.9767911259103901, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.6358380496552148};-90.2736992805931;29.871952846451396
